quarter,sig_date,next_sig_date,regime,kospi_return,밸런스형_return,밸런스형_winrate,저평가형_return,저평가형_winrate,모멘텀형_return,모멘텀형_winrate,국면대응형_return,국면대응형_winrate
2021-12-31,2022-02-14,2022-05-15,bear,-3.7064426433177644,-2.1158234501816335,55.00000000000001,4.111307272422784,60.0,-4.392827928489883,46.666666666666664,2.3174147918493913,55.00000000000001
2022-03-31,2022-05-15,2022-08-14,bear,-2.643477189225818,-9.172647142195462,30.0,-11.101651504110405,20.0,-5.317014459580994,40.0,-11.107541007799203,20.0
2022-06-30,2022-08-14,2022-11-14,bear,-2.323644573557737,-8.322021192805998,25.0,-6.246817660131259,25.0,-1.9069591343708265,40.0,-6.58936670167183,25.0
2022-09-30,2022-11-14,2023-02-14,sideways,-0.36409189178268075,6.800435279604085,70.0,9.930333007304345,70.0,22.24004872095005,60.0,6.873301894604514,70.0
2022-12-31,2023-02-14,2023-05-15,sideways,0.5560422446099222,18.318861724980813,55.00000000000001,7.233859028801946,60.0,21.497351026391446,60.0,11.49266901740388,55.00000000000001
2023-03-31,2023-05-15,2023-08-14,bull,3.691290055861418,20.7227224052374,50.0,22.483825888283615,50.0,14.754149002830529,53.333333333333336,13.564045301519664,55.00000000000001
2023-06-30,2023-08-14,2023-11-14,bull,-5.353051690672805,-2.8905636068871416,35.0,-4.429096517132877,30.0,-10.787288147260051,13.333333333333334,-8.574159022587384,15.0
2023-09-30,2023-11-14,2024-02-14,sideways,7.692181239083529,6.970109679056388,50.0,4.402698884698895,50.0,2.323717341109214,53.333333333333336,7.3938095410793405,50.0
2023-12-31,2024-02-14,2024-05-15,bull,4.194747406904242,31.939680060129426,65.0,12.487729397295883,50.0,19.540608722348473,73.33333333333333,20.88467588146162,75.0
2024-03-31,2024-05-15,2024-08-14,bull,-3.9411551035234305,2.115048452013402,50.0,3.0583132270171167,50.0,20.00838909216029,46.666666666666664,13.38482513532912,45.0
2024-06-30,2024-08-14,2024-11-14,sideways,-8.532425789374166,-10.820239210479592,40.0,-7.206860979660048,35.0,3.701757596826489,53.333333333333336,-7.89082976405026,45.0
2024-09-30,2024-11-14,2025-02-14,bear,7.118642666380026,13.826548901287698,70.0,11.55724234181844,70.0,13.156724069134663,73.33333333333333,14.699803710875457,75.0
2024-12-31,2025-02-14,2025-05-15,sideways,1.1697960286370268,9.675365950922284,65.0,1.7002350981134922,70.0,14.464074011844534,66.66666666666666,9.232217292781792,60.0
2025-03-31,2025-05-15,2025-08-14,sideways,23.052919095431367,18.502185281507202,75.0,16.15941260310862,75.0,22.628394827662827,80.0,22.30877585422929,80.0
2025-06-30,2025-08-14,2025-11-14,bull,24.364316139952756,11.898703979532673,50.0,19.13440505238394,55.00000000000001,36.4901104454359,66.66666666666666,21.762225546411255,55.00000000000001
2025-09-30,2025-11-14,2026-02-14,bull,37.27817288493034,34.68154897417392,75.0,24.627681690309302,65.0,27.75961605608344,60.0,28.59681149444926,65.0
2025-12-31,2026-02-14,2026-05-15,bull,31.98608481218901,16.984778141911754,40.0,9.01175412750824,40.0,21.21922820211423,40.0,23.291219814324272,45.0
